STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
1615,1615,Công ty TNHH MTV PET Quốc tế,"Lô 128-129-130, đường số 6, khu chế xuất và công nghiệp Linh Trung 3, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sản phẩm từ nhựa,2.484,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1616,1616,Công ty TNHH Lốp xe H.A VINA,"Đường D11, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh","Sản xuất săm, lốp cao su; đắp, tái chế lốp cao su",5.804,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1617,1617,Công ty TNHH Sailun Việt Nam,"Đường D11, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh","Sản xuất săm, lốp cao su; đắp, tái chế lốp cao su",34.666,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1618,1618,Công ty cổ phần TKG Eco Material Vina (tên cũ Công ty cổ phần JSI Vina),"Lô số 45-18-2, đường N14, khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",Sản xuất sản phẩm hóa chất khác,1.318,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1619,1619,Công ty TNHH lchihiro Việt Nam,"Lô 103,104, đường B, khu chế xuất và công nghiệp Linh Trung 3, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất vải dệt thoi,1.173,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1620,1620,Chi nhánh Công ty cổ phần Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa tại Tây Ninh,"Đường số 6, khu chế xuất và công nghiệp Linh Trung 3, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sản phẩm từ nhựa,2.423,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1621,1621,Công ty TNHH Cocreation Gras Corporation Việt Nam,"Lô 10-1, đường N8, khu công nghiệp Phước Đông, xã Đôn Thuận, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sản phẩm từ nhựa,5.762,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1622,1622,Công ty TNHH Young IL Việt Nam,"Lô A6 1-4, đường N5, khu công nghiệp Thành Thành Công, phường An Hòa, thị xã Trảng Bàng, tỉnh Tây Ninh","Thuộc, sơ chế da; sơ chế và nhuộm da lông thú",3.161,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1623,1623,Công ty TNHH Ritar Power,"Lô A21, đường C4, khu công nghiệp Thành Thành Công, phường An Hòa, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất pin và ắc quy,6.544,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1624,1624,Công ty TNHH MTV Phúc Thắng Tây Ninh,"Tổ 2, ấp Thạnh Tân, xã Thạnh Bình, huyện Tân Biên, tỉnh Tây Ninh",Chế biến bột khoai mì,1.919,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1625,1625,Công ty TNHH MTV Dương Minh Tuyền,"Ấp Hòa Đông B, xã Hòa Hiệp, huyện Tân Biên, tỉnh Tây Ninh",Sản xuất tinh bột và các sản phẩm từ tinh bột,1.481,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1626,1626,Công ty cổ phần Khoai mì Tây Ninh,"Ấp Tân Hòa, xã Tân Bình, thành phố Tây Ninh, tỉnh Tây Ninh",Sản xuất tinh bột và các sản phẩm từ tinh bột,1.359,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1627,1627,Công ty cổ phần Sản xuất Phú Lực,"Khu chế xuất và công nghiệp Linh Trung 3, phường An Tịnh, thị xã Trảng Bàng, tỉnh Tây Ninh","Sản xuất đồ dùng bằng thép cho nhà bếp, vệ sinh",2.037,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1628,1628,Công ty TNHH Trường Thịnh,"Ấp 1, xã Suối Ngô, huyện Tân Châu, tỉnh Tây Ninh",Sản xuất tinh bột và các sản phẩm từ tinh bột,2.311,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
