STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
1546,1546,Công ty TNHH Starprints Việt Nam,"Lô 104, đường 2A, khu công nghiệp Amata, thành phố Biên Hòa, tỉnh Đồng Nai","Sản xuất sản phẩm từ nhựa, in ấn",1.120,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1547,1547,Công ty TNHH Marigot Việt Nam,"Khu công nghiệp Amata, thành phố Biên Hòa, tỉnh Đồng Nai","Sản xuất, kinh doanh trang sức",1.030,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1548,1548,Công ty TNHH KMC Chain Việt Nam,"Khu công nghiệp Amata, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất dây xích,1.029,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1549,1549,Công ty TNHH Promax Texttile Việt Nam,"Đường số 6, khu công nghiệp Nhơn Trạch 3, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất sợi,3.280,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1550,1550,Công ty TNHH YKK Việt Nam,"Lô 10, đường N2, khu công nghiệp Nhơn Trạch 3 - Giai đoạn 2, huyện Nhơn Trạch, tỉnh Đồng Nai","Sản xuất các loại khóa kéo, các sản phẩm có liên quan, sản xuất nguyên phụ liệu dùng cho ngành may",10.504,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1551,1551,Công ty TNHH Daeyoung Textile Việt Nam,"Phân khu công nghiệp 6A, khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch, tỉnh Đồng Nai","Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",1.283,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1552,1552,Công ty TNHH Công nghệ Henly,"Đường số 4, khu công nghiệp Nhơn Trạch 3 - Giai đoạn 2, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất bình acquy các loại,2.898,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1553,1553,Công ty TNHH Lotte Advance,"Đường số 4, phân khu công nghiệp 6A, khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch","Sản xuất và kinh doanh hạt nhựa PC, hạt nhựa ABS và một số loại hạt nhựa khác",1.014,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1554,1554,Công ty TNHH Hi Knit,"Đường N3, khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch, tỉnh Đồng Nai","Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",2.317,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1555,1555,Công ty TNHH OT Motor Việt Nam,"Lô đất số B-3.1, phân khu công nghiệp 6B, khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất linh kiện và phụ tùng ô tô,1.053,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1556,1556,Công ty TNHH KCC Việt Nam,"Khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất linh kiện điện tử,2.211,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1557,1557,Công ty TNHH NOX ASEAN,"Đường số 8, khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất tấm phủ sàn từ nhựa tổng hợp PVC,1.063,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1558,1558,Công ty TNHH UL Hwa Việt Nam,"Lô E 7,8, khu công nghiệp Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất sợi,1.999,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1559,1559,Công ty TNHH Fujikura Electronics Việt Nam,"Lô D,8,2, khu công nghiệp Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất linh kiện điện tử,1.099,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1560,1560,Công ty TNHH Muto Việt Nam,"Lô C7-1, khu công nghiệp Long Bình (Loteco) thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất các sản phẩm chi tiết nhựa cho linh kiện điện tử,2.432,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1561,1561,Công ty TNHH Mitsuba M-Tech Việt Nam,"Lô D5-1, khu công nghiệp Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai","Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện",1.804,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1562,1562,Công ty TNHH Olam Việt Nam,"Lô E5, khu công nghiệp Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai","Chế biến hạt tiêu, gia vị và các sản phẩm nông nghiệp khác",1.110,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1563,1563,Công ty TNHH Seorim,"Lô D14, đường số 5, khu công nghiệp Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai","Sản xuất đồ dùng bằng kim loại cho nhà bếp, nhà vệ sinh và nhà ăn",2.268,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1564,1564,Công ty TNHH Tokin Electronics Việt Nam,"Lô A5-A6, đường số 4, khu công nghiệp Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất linh kiện điện tử,1.448,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1565,1565,Công ty TNHH Koyu & Unitek,"Khu công nghiệp Long Bình, quốc lộ 15A, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai","Sản xuất món ăn, thức ăn chế biến sẵn",1.652,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1566,1566,Công ty TNHH Sản xuất toàn cầu LIXIL Việt Nam,"Đường N2-5, khu công nghiệp Long Đức, huyện Long Thành, tỉnh Đồng Nai",Sản xuất nhôm cho công nghiệp và xây dựng,18.533,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1567,1567,Công ty TNHH SMC Manufactoring Việt Nam,"Đường N2-5, khu công nghiệp Long Đức, xã Long Đức, huyện Long Thành, tỉnh Đồng Nai",Sản xuất các thiết bị điều khiển tự động,4.685,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1568,1568,Công ty TNHH Torrecid Việt Nam,"Khu công nghiệp Long Thành, huyện Long Thành, tỉnh Đồng Nai","Sản xuất, cung cấp nguyên vật liệu",1.075,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1569,1569,Chi nhánh Công ty cổ phần Sữa Việt Nam - Nhà máy sữa Dielac,"Xa lộ Hà Nội, khu công nghiệp Biên Hòa 1, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất sữa và các sản phẩm từ sữa,2.482,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1570,1570,Công ty TNHH Sản phẩm máy tính Fujitsu Việt Nam,"Số 31, đường 3A, khu công nghiệp Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính,9.176,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1571,1571,Công ty TNHH Thép Seah Việt Nam,"Số 7 đường 3A, khu công nghiệp Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai",Gia công thép cuộn ống,2.936,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1572,1572,Tổng Công ty Công nghiệp thực phẩm Đồng Nai (Dofico),"Số 833A, xa lộ Hà Nội, khu phố 1, phường Long Bình Tân, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất thuốc lá,13.034,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1573,1573,Công ty TNHH Da thuộc Tai Yu,"Khu công nghiệp Nhơn Trạch V, huyện Nhơn Trạch, tỉnh Đồng Nai","Thuộc, sơ chế da",3.539,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1574,1574,Công ty cổ phần Thực phẩm Quốc tế,"Lô 13, khu công nghiệp Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất đồ uống không cồn,2.347,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1575,1575,Công ty phân bón Việt Nhật - Nhà máy Phân bón NPK,"Khu công nghiệp Gò Dầu, huyện Long Thành, tỉnh Đồng Nai",Sản xuất phân bón và hợp chất ni tơ,2.963,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1576,1576,Chi nhánh Công ty cổ phần nhựa Phú Lâm,"Khu công nghiệp Amata, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất sản phẩm khác từ nhựa,5.344,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1577,1577,Công ty TNHH Chemtrovina,"Khu công nghiệp Nhơn Trạch II - Lộc Khang, huyện Nhơn Trạch, tỉnh Đồng Nai","Sản xuất, lắp đặt linh kiện điện tử",2.509,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1578,1578,Công ty TNHH Tokin Electronics (Việt Nam),"Khu công nghiệp Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất linh kiện điện tử,1.715,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1579,1579,Công ty Dongjin Textile Vina,"Lô D8-1, đường số 2, khu công nghiệp Loteco, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất các sản phẩm dệt nhuộm,29.131.955,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1580,1580,Công ty TNHH Công nghệ năng lượng CSB (VN),"Đường số 4, khu công nghiệp Nhơn Trạch 3 - Giai Đoạn 2, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất bình ắc quy,10.193,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1581,1581,Chi nhánh Tổng Công ty Điện lực dầu khí Việt Nam - Công ty cổ phần - Công ty Điện lực Dầu khí Nhơn Trạch,"Ấp 3, xã Phước Khánh, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất và kinh doanh điện năng,268.117,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1582,1582,Công ty TNHH YS Việt Nam,"Lô A401-A402, đường D2, khu công nghiệp dệt may Nhơn Trạch, huyện Nhơn Trạch",Sản xuất linh kiện máy hút bụi,2.424,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1583,1583,Công ty TNHH KCC (Việt Nam Nhơn Trạch),"Khu công nghiệp Nhơn Trạch 6, huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất vỏ ceramic của tụ điện và bảng bo mạc điện tử ceramic,72.855,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1584,1584,Công ty TNHH Mauchi Motor Việt Nam,"Số 2, đường 5A, khu công nghiệp Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất động cơ loại nhỏ và trục động cơ,5.879,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1585,1585,Công ty TNHH Longwell,"Khu công nghiệp Dầu Giây, huyện Thống Nhất, tỉnh Đồng Nai",Sản xuất gia công các loại giày dép.,2.280,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1586,1586,Công ty TNHH Sài Gòn 3 Jean,"Đường N2-D2, khu công nghiệp dệt may tân tạo, huyện Nhơn trạch, tỉnh Đồng Nai",Sản xuất các sản phẩm dệt may,3.430,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1587,1587,Công ty TNHH Topband Smart Đồng Nai Việt Nam,"Lô D, khu công nghiệp Lộc An - Bình Sơn, huyện Long Thành, tỉnh Đồng Nai","Sản xuất, gia công các thiết bị điện, điện tử và các linh kiện điện tử",1.403,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1588,1588,Nhà máy nhiệt điện Formosa,"Huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất điện,1.839.600,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1589,1589,Nhà máy nhiệt điện Vedan,"Thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất điện,398.580,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1590,1590,Nhà máy nhiệt điện Amata,"Thành phố Biên Hòa, tỉnh Đồng Nai",Sản xuất điện,122.640,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1591,1591,Nhà máy nhiệt điện Nhơn Trạch 1,"Huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất điện,1.839.600,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1592,1592,Nhà máy nhiệt điện Nhơn Trạch 2,"Huyện Nhơn Trạch, tỉnh Đồng Nai",Sản xuất điện,3.679.200,Tỉnh Đồng Nai,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1593,1593,Chi nhánh Hùng Duy 6 - Công ty TNHH Xuất nhập khẩu - Thương mại - Dịch vụ Hùng Duy,"Xã Hòa Hội, huyện Châu Thành, tỉnh Tây Ninh",Sản xuất tinh bột mì,4.155,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1594,1594,Chi nhánh Công ty TNHH Xuất nhập khẩu - Thương mại - Dịch vụ Hùng Duy 8,"Xã Ninh Điền, huyện Châu Thành, tỉnh Tây Ninh",Sản xuất tinh bột mì,5.726,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1595,1595,Công ty TNHH ILSHIN Việt Nam,"Khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",Sản xuất sợi,14.036,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1596,1596,Công ty TNHH Pouli Việt Nam,"Khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh","Sản xuất giày, dép",1.397,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1597,1597,Công ty TNHH Sầm Nhứt,"Tổ 7, ấp Hòa Bình, xã Hòa Hiệp, huyện Tân Biên, tỉnh Tây Ninh",Sản xuất tinh bột mì,4.125,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1598,1598,Công ty cổ phần TKG Taekwang Mộc Bài (tên cũ là Công ty cổ phần Việt Nam Mộc Bài),"Ấp Thuận Tây, xã Lợi Thuận, huyện Bến Cầu, tỉnh Tây Ninh",Sản xuất giày thể thao,7.838,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1599,1599,Công ty TNHH Golbal Hantex,"Khu công nghiệp Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh","Sản xuất vải dệt kim, vải đan móc và vải không dệt",1.059,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1600,1600,Công ty TNHH Dệt Jita Thành An Việt Nam,"Lô A14, đường N3A, khu công nghiệp Thành Thành Công, phường An Hòa, thị xã Trảng Bàng, tỉnh Tây Ninh","Sản xuất vải dệt kim, vải đan móc và vải không dệt",1.301,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1601,1601,Công ty TNHH Dệt may Rise Sun Hồng Kông,"Lô A12, đường D3, khu công nghiệp Thành Thành Công, phường An Hòa, thị xã Trảng Bàng, tỉnh Tây Ninh",Sản xuất sản phẩm dệt,3.457,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1602,1602,Công ty TNHH Can Sports Việt Nam,"Ấp Thuận Hòa, xã Truông Mít, huyện Dương Minh Châu, tỉnh Tây Ninh",Sản xuất giày dép,3.725,Tỉnh Tây Ninh,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
